id,sentence,coarse,fine,pol,asp
775,"The method is compared against the UNIT model under a variety of training conditions, and evaluated for within-domain reconstruction and transfer accuracy as measured by maximum mean discrepancy.",Structuring,Structuring.Summary,,
776,"The proposed model seems to improve on the transfer accuracy, with a slight hit to reconstruction accuracy.",Structuring,Structuring.Summary,,
777,Qualitative investigation demonstrates that the learned representation can approximate several coarse spectral descriptors of the target domains.,Structuring,Structuring.Summary,,
778,High-level comments,Structuring,Structuring.Heading,,
779,-------------------,Structuring,Structuring.Heading,,
780,"Overall, this paper is well written, and the various design choices seem well-motivated.",Evaluative,Evaluative,P-Positive,Substance
781,"The empirical comparisons to UNIT are reasonably thorough, though I would have preferred more in-depth evaluation of the MoVE model as well.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
782,"Specifically, the authors introduced an extra input (control) to encode the pitch class and octave information during encoding.",Structuring,Structuring.Heading,,
783,"I infer that this was necessary to achieve good performance, but it would be instructive to see the results without this additional input, since it does in a sense constitute a form of supervision, and therefore limits the types of training data which can be used.",Request,Request.Experiment,P-Positive,Substance
784,"While I understand that quantifying performance in this application is difficult, I do find the results difficult to interpret.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
785,Some of this comes down to incomplete definition of the metrics (see detailed comments below).,Structuring,Structuring.Heading,,
786,"However, the more pressing issue is that evaluation is done either sample-wise within-domain (reconstruction), or distribution-wise across domains (transfer).",Evaluative,Evaluative,N-Negative,Soundness/Correctness
787,"The transfer metrics (MMD and kNN) are opaque to the reader: for instance, in table 1, is a knn score of 43173 qualitatively different than 43180?",Request,Request.Clarification,N-Negative,Soundness/Correctness
788,What is the criteria for bolding here?,Request,Request.Clarification,U-Neutral,Soundness/Correctness
789,"It would be helpful if these scores could be calibrated in some way, e.g., with reference to",Request,Request.Experiment,U-Neutral,Soundness/Correctness
790,MMD/KNN scores of random partitions of the target domain samples.,,,,
791,"Since the authors do additional information here for each sample (notes), it would be possible to pair generated and real examples by instrument and note, rather than (in addition to) unsupervised, feature-space pairing by MMD.",Request,Request.Experiment,P-Positive,Soundness/Correctness
792,"This could provide a slightly stronger version of the comparison in Figure 3, which shows that the overall distribution of spectral centroids is approximated by transfer, but does not demonstrate per-sample correspondence.",Request,Request.Experiment,P-Positive,Meaningful Comparison
793,Detailed comments,Structuring,Structuring.Heading,,
794,-----------------,Structuring,Structuring.Heading,,
795,"At several points in the manuscript, the authors refer to ""invertible"" representations (e.g., page 4, just after eq. 1), but it seems like what they mean is approximately invertible or decodable.",Request,Request.Edit,U-Neutral,Clarity
796,It would be better if the authors were a little more careful in their use of terminology here.,Request,Request.Edit,N-Negative,Clarity
797,"In the definition of the RBF kernel (page 4), why is there a summation?",Request,Request.Clarification,U-Neutral,Clarity
798,What does this index? How are the kernel bandwidths defined?,Request,Request.Clarification,U-Neutral,Clarity
799,"How exactly are reconstruction errors calculated: using the NSGT magnitude representation, or after resynthesis in the time domain?",Request,Request.Explanation,U-Neutral,Substance
800,"The paper explores how the architecture, smoothness of the decision boundary and test accuracy of a model impacts the transferability of examples produced from it.",Structuring,Structuring.Summary,,
801,"The paper provides a couple of novel insights, such as the asymmetry when transferring adversarial examples from one model to another.",Structuring,Structuring.Summary,,
802,"In addition, a novel method is proposed to enhance the transferability of adversarial examples from any model, through using smoothed gradients.",Structuring,Structuring.Summary,,
803,"The experiments seem to show that the effect is rather large, and also makes the examples more robust to other transformations such as JPEG compression.",Evaluative,Evaluative,P-Positive,Soundness/Correctness
804,"Overall, these are interesting insights that could lead to further developments in making models more robust to adversarial examples.",Evaluative,Evaluative,P-Positive,Soundness/Correctness
805,"In particular, deriving adversarial examples that are both transferable and resilient to certain usual image transformations shows that the scope of the issue with adversarial examples may be even greater than what is understood today.",Evaluative,Evaluative,P-Positive,Substance
806,The paper is rather clear.,Evaluative,Evaluative,P-Positive,Clarity
807,"Unfortunately, it is riddled with grammatical errors and should be proof-read carefully. A lot of singular/plurals are off, and some formulations are odd or downright unclear.",Evaluative,Evaluative,N-Negative,Clarity
808,Some examples (there are way too many to report them all):,Structuring,Structuring.Heading,,
809,"- ""Transfer-based attackS ... since they ...*",Request,Request.Typo,U-Neutral,Clarity
810,"- ""of adversarial exampleS ...""",Request,Request.Typo,U-Neutral,Clarity
811,"- ""from model A can transfer to model B""",Request,Request.Typo,U-Neutral,Clarity
812,"- ""less transferable than *those from* a shallow model""?",Request,Request.Typo,U-Neutral,Clarity
813,"- ""investigations, We "": don't capitalize",Request,Request.Typo,U-Neutral,Clarity
814,"- ""the averaging *has* a smoothing effect""",Request,Request.Typo,U-Neutral,Clarity
815,"- ""our motivation are""",Request,Request.Typo,U-Neutral,Clarity
816,"- ""contributed it to""",Request,Request.Typo,U-Neutral,Clarity
817,"- ""available *to the* adversary""",Request,Request.Typo,U-Neutral,Clarity
818,"- ""crafting adversarial perturbationS""",Request,Request.Typo,U-Neutral,Clarity
819,"- ""directly evaluation""",Request,Request.Typo,U-Neutral,Clarity
820,"- ""be fixed 100""",Request,Request.Typo,U-Neutral,Clarity
822,- Transferability and robustness of adversarial examples is a very important problem,Evaluative,Evaluative,P-Positive,Motivation/Impact
